scenario_id,week_start,plant_id,region_id,model_code,trim_code,color_code,allocated_qty,implied_lead_days
1,2025-07-14,AUS,CC,M3,ST,GY,103,5
1,2025-07-14,FRE,CC,M3,ST,GY,74,9
1,2025-07-14,AUS,CC,M3,ST,WH,145,5
1,2025-07-14,AUS,CC,MY,PR,BK,59,5
1,2025-07-14,FRE,CC,MY,PR,BK,67,9
1,2025-07-14,SHA,CC,MY,PR,BK,48,23
1,2025-07-14,BER,CC,MY,PR,BK,41,25
1,2025-07-14,AUS,CC,MY,PR,BL,16,5
1,2025-07-14,FRE,CC,MY,PR,BL,16,9
1,2025-07-14,SHA,CC,MY,PR,BL,15,23
1,2025-07-14,BER,CC,MY,PR,BL,13,25
1,2025-07-14,AUS,CC,MY,PR,GY,25,5
1,2025-07-14,FRE,CC,MY,PR,GY,27,9
1,2025-07-14,SHA,CC,MY,PR,GY,22,23
1,2025-07-14,BER,CC,MY,PR,GY,25,25
1,2025-07-14,AUS,CC,MY,PR,WH,62,5
1,2025-07-14,FRE,CC,MY,PR,WH,48,9
1,2025-07-14,SHA,CC,MY,PR,WH,44,23
1,2025-07-14,BER,CC,MY,PR,WH,44,25
1,2025-07-14,AUS,CC,MY,ST,BK,131,5
1,2025-07-14,FRE,CC,MY,ST,BK,64,9
1,2025-07-14,AUS,CC,MY,ST,BL,32,5
1,2025-07-14,FRE,CC,MY,ST,BL,36,9
1,2025-07-14,SHA,CC,MY,ST,BL,34,23
1,2025-07-14,BER,CC,MY,ST,BL,32,25
1,2025-07-14,AUS,CC,MY,ST,GY,75,5
1,2025-07-14,FRE,CC,MY,ST,GY,80,9
1,2025-07-14,SHA,CC,MY,ST,GY,49,23
1,2025-07-14,AUS,CC,MY,ST,WH,121,5
1,2025-07-14,FRE,CC,MY,ST,WH,89,9
1,2025-07-14,SHA,EC,M3,PR,BK,4,24
1,2025-07-14,BER,EC,M3,PR,BK,65,26
1,2025-07-14,SHA,EC,M3,PR,WH,52,24
1,2025-07-14,BER,EC,M3,PR,WH,73,26
1,2025-07-14,FRE,EC,M3,ST,BK,204,12
1,2025-07-14,SHA,EC,M3,ST,BK,23,24
1,2025-07-14,SHA,EC,M3,ST,BL,1,24
1,2025-07-14,BER,EC,M3,ST,BL,45,26
1,2025-07-14,FRE,EC,M3,ST,GY,38,12
1,2025-07-14,SHA,EC,M3,ST,GY,107,24
1,2025-07-14,BER,EC,M3,ST,GY,100,26
1,2025-07-14,AUS,EC,M3,ST,WH,29,10
1,2025-07-14,FRE,EC,M3,ST,WH,219,12
1,2025-07-14,BER,EC,MY,PR,BK,10,26
1,2025-07-14,FRE,EC,MY,ST,BK,42,12
1,2025-07-14,SHA,EC,MY,ST,BK,131,24
1,2025-07-14,BER,EC,MY,ST,BK,130,26
1,2025-07-14,SHA,EC,MY,ST,GY,12,24
1,2025-07-14,BER,EC,MY,ST,GY,68,26
1,2025-07-14,FRE,EC,MY,ST,WH,21,12
1,2025-07-14,SHA,EC,MY,ST,WH,104,24
1,2025-07-14,BER,EC,MY,ST,WH,125,26
1,2025-07-14,SHA,WC,M3,ST,BK,145,22
1,2025-07-14,BER,WC,M3,ST,BK,1,24
1,2025-07-14,FRE,WC,M3,ST,WH,1,4
1,2025-07-14,SHA,WC,M3,ST,WH,127,22
1,2025-07-21,AUS,CC,M3,PR,BK,77,5
1,2025-07-21,FRE,CC,M3,PR,BK,86,9
1,2025-07-21,SHA,CC,M3,PR,BK,55,23
1,2025-07-21,AUS,CC,M3,PR,BL,28,5
1,2025-07-21,FRE,CC,M3,PR,BL,25,9
1,2025-07-21,SHA,CC,M3,PR,BL,22,23
1,2025-07-21,BER,CC,M3,PR,BL,30,25
1,2025-07-21,AUS,CC,M3,PR,GY,41,5
1,2025-07-21,FRE,CC,M3,PR,GY,40,9
1,2025-07-21,SHA,CC,M3,PR,GY,41,23
1,2025-07-21,BER,CC,M3,PR,GY,22,25
1,2025-07-21,AUS,CC,M3,PR,WH,82,5
1,2025-07-21,FRE,CC,M3,PR,WH,89,9
1,2025-07-21,SHA,CC,M3,PR,WH,20,23
1,2025-07-21,AUS,CC,M3,ST,BK,176,5
1,2025-07-21,AUS,CC,M3,ST,BL,68,5
1,2025-07-21,FRE,CC,M3,ST,BL,66,9
1,2025-07-21,SHA,CC,M3,ST,BL,52,23
1,2025-07-21,AUS,CC,M3,ST,GY,110,5
1,2025-07-21,FRE,CC,M3,ST,GY,28,9
1,2025-07-21,AUS,CC,M3,ST,WH,175,5
1,2025-07-21,AUS,CC,MY,PR,BK,39,5
1,2025-07-21,FRE,CC,MY,PR,BK,55,9
1,2025-07-21,SHA,CC,MY,PR,BK,57,23
1,2025-07-21,BER,CC,MY,PR,BK,65,25
1,2025-07-21,AUS,CC,MY,PR,BL,14,5
1,2025-07-21,FRE,CC,MY,PR,BL,19,9
1,2025-07-21,SHA,CC,MY,PR,BL,14,23
1,2025-07-21,BER,CC,MY,PR,BL,11,25
1,2025-07-21,AUS,CC,MY,PR,GY,26,5
1,2025-07-21,FRE,CC,MY,PR,GY,28,9
1,2025-07-21,SHA,CC,MY,PR,GY,23,23
1,2025-07-21,BER,CC,MY,PR,GY,28,25
1,2025-07-21,AUS,CC,MY,PR,WH,57,5
1,2025-07-21,FRE,CC,MY,PR,WH,51,9
1,2025-07-21,SHA,CC,MY,PR,WH,62,23
1,2025-07-21,BER,CC,MY,PR,WH,47,25
1,2025-07-21,AUS,CC,MY,ST,BK,135,5
1,2025-07-21,FRE,CC,MY,ST,BK,68,9
1,2025-07-21,AUS,CC,MY,ST,BL,40,5
1,2025-07-21,FRE,CC,MY,ST,BL,36,9
1,2025-07-21,SHA,CC,MY,ST,BL,32,23
1,2025-07-21,BER,CC,MY,ST,BL,38,25
1,2025-07-21,AUS,CC,MY,ST,GY,73,5
1,2025-07-21,FRE,CC,MY,ST,GY,71,9
1,2025-07-21,SHA,CC,MY,ST,GY,43,23
1,2025-07-21,AUS,CC,MY,ST,WH,130,5
1,2025-07-21,FRE,CC,MY,ST,WH,34,9
1,2025-07-21,SHA,EC,M3,PR,BK,24,24
1,2025-07-21,BER,EC,M3,PR,BK,72,26
1,2025-07-21,BER,EC,M3,PR,GY,19,26
1,2025-07-21,SHA,EC,M3,PR,WH,64,24
1,2025-07-21,BER,EC,M3,PR,WH,82,26
1,2025-07-21,AUS,EC,M3,ST,BK,12,10
1,2025-07-21,FRE,EC,M3,ST,BK,197,12
1,2025-07-21,SHA,EC,M3,ST,BK,64,24
1,2025-07-21,SHA,EC,M3,ST,BL,25,24
1,2025-07-21,BER,EC,M3,ST,BL,48,26
1,2025-07-21,FRE,EC,M3,ST,GY,80,12
1,2025-07-21,SHA,EC,M3,ST,GY,120,24
1,2025-07-21,BER,EC,M3,ST,GY,55,26
1,2025-07-21,FRE,EC,M3,ST,WH,207,12
1,2025-07-21,SHA,EC,M3,ST,WH,16,24
1,2025-07-21,FRE,EC,MY,ST,BK,52,12
1,2025-07-21,SHA,EC,MY,ST,BK,128,24
1,2025-07-21,BER,EC,MY,ST,BK,129,26
1,2025-07-21,SHA,EC,MY,ST,GY,46,24
1,2025-07-21,BER,EC,MY,ST,GY,72,26
1,2025-07-21,FRE,EC,MY,ST,WH,110,12
1,2025-07-21,SHA,EC,MY,ST,WH,127,24
1,2025-07-21,SHA,WC,M3,ST,BK,128,22
1,2025-07-21,BER,WC,M3,ST,BK,5,24
1,2025-07-21,BER,WC,M3,ST,GY,53,24
1,2025-07-21,SHA,WC,M3,ST,WH,145,22
1,2025-07-21,SHA,WC,MY,ST,WH,10,22
1,2025-07-21,BER,WC,MY,ST,WH,115,24
1,2025-07-28,AUS,CC,M3,PR,BK,82,5
1,2025-07-28,FRE,CC,M3,PR,BK,72,9
1,2025-07-28,SHA,CC,M3,PR,BK,29,23
1,2025-07-28,AUS,CC,M3,PR,BL,22,5
1,2025-07-28,FRE,CC,M3,PR,BL,21,9
1,2025-07-28,SHA,CC,M3,PR,BL,20,23
1,2025-07-28,BER,CC,M3,PR,BL,16,25
1,2025-07-28,AUS,CC,M3,PR,GY,45,5
1,2025-07-28,FRE,CC,M3,PR,GY,37,9
1,2025-07-28,SHA,CC,M3,PR,GY,42,23
1,2025-07-28,BER,CC,M3,PR,GY,37,25
1,2025-07-28,AUS,CC,M3,PR,WH,103,5
1,2025-07-28,FRE,CC,M3,PR,WH,77,9
1,2025-07-28,SHA,CC,M3,PR,WH,12,23
1,2025-07-28,AUS,CC,M3,ST,BK,167,5
1,2025-07-28,AUS,CC,M3,ST,BL,52,5
1,2025-07-28,FRE,CC,M3,ST,BL,39,9
1,2025-07-28,SHA,CC,M3,ST,BL,40,23
1,2025-07-28,AUS,CC,M3,ST,GY,145,5
1,2025-07-28,FRE,CC,M3,ST,GY,20,9
